Week,Extranjero,Violencia contra la mujer,Aeropuerto,Pueblo Yaqui,Salud y Medicina,Hospitales,Proyectos de infraestructura,Vacunación,Justicia penal,Contexto histórico,Problemas sociales,Pandemia Covid-19,Tren Maya,Petróleo y minería,Comisión de lectricidad,Redes Sociales,Inflación
2018-49,3.592169e-05,0.097469896,0.046472162,0.012361658,5.1014762e-05,0.38766912,0.033770747,0.05607496,2.3058108e-05,0.013608082,0.022956144,1.8705729e-05,4.6185658e-05,0.014473004,0.23325473,2.0120007e-05,0.08169451
2018-50,0.00018840795,0.2298515,0.00042951803,0.072680146,0.00026757055,0.00041649162,0.00013458857,0.03411425,0.00012093894,0.00014118495,0.2867725,9.811086e-05,0.28424403,0.060037486,0.0002641436,0.00010552871,0.030133652
2018-51,0.0004454988,0.0957128,0.0010155787,0.00026022387,0.0006326822,0.0009847953,0.8957328,0.0007554818,0.0002859654,0.00033383796,0.0005013557,0.0002319874,0.000572792,0.00058679475,0.0006245791,0.00024952722,0.0010732181
2018-52,9.3119e-05,0.0983771,0.047873646,5.4392483e-05,0.00013224444,0.025605747,0.033438664,0.6408568,0.0067715826,6.977944e-05,0.04849033,4.8490445e-05,0.025874926,0.00012265294,0.035154607,5.215665e-05,0.03698378
2019-1,0.0005450645,0.51797116,0.18013592,0.00031838196,0.000774082,0.16832213,0.00038936493,0.0009243266,0.00034987653,0.00040844825,0.09827155,0.00028383487,0.02820538,0.000717939,0.00076416787,0.0003052947,0.0013130488
2019-2,0.00010050709,0.07405925,0.02994237,5.8707996e-05,0.00014273674,0.038770825,0.63268644,0.057077043,0.028785272,0.020150473,0.037666038,0.03205846,0.00012922515,0.019597985,0.020672072,5.6294768e-05,0.008046359
2019-3,0.00045607617,0.18808429,0.0010396809,0.0002664023,0.0006477038,0.034353163,0.00032579643,0.0007734189,0.02986972,0.0003417642,0.00051325926,0.00023749542,0.00058639166,0.7405113,0.00063940824,0.00025545168,0.0010986115
2019-4,0.00018325179,0.04214954,0.02182104,0.000107040665,0.00026024797,0.054400064,0.71393967,0.00031076057,0.0001176292,0.00013732114,0.04487717,0.046174336,0.00023561265,0.00024137256,0.00025691476,0.0001026407,0.07468539
2019-5,0.00014412066,0.10162507,0.011330978,8.418346e-05,0.57793826,0.058487546,0.039592464,0.054559775,9.251095e-05,0.00010799792,0.00016219057,0.018890386,0.00018530051,0.038538955,0.00020205382,8.072305e-05,0.09797748
2019-6,0.0001410139,0.05624764,0.00032148365,0.019479178,0.00020026315,0.05982521,0.04568291,0.06985028,0.02545967,0.03673142,0.6381668,7.343106e-05,0.00018130605,0.013858618,0.00019769823,7.898294e-05,0.033504043
2019-13,9.83046e-05,0.09813412,0.027611688,5.7421483e-05,0.015106311,0.088994645,0.11285205,0.10517669,6.310166e-05,0.020107796,0.02823939,5.1190775e-05,0.3598446,0.022135172,0.0135186035,5.506114e-05,0.10795387
