Week,Extranjero,Violencia contra la mujer,Aeropuerto,Pueblo Yaqui,Salud y Medicina,Hospitales,Proyectos de infraestructura,Vacunación,Justicia penal,Contexto histórico,Problemas sociales,Pandemia Covid-19,Tren Maya,Petróleo y minería,Comisión de Electricidad,Redes Sociales,Inflación
2018-49,3.592169e-05,0.097469464,0.046468753,0.012362245,5.1014762e-05,0.38766947,0.033771735,0.056075152,2.3058108e-05,0.013608196,0.022957427,1.8705729e-05,4.6185658e-05,0.014473515,0.23325498,2.0120007e-05,0.081694104
2018-50,0.00018840794,0.22985218,0.000429518,0.07268004,0.00026757055,0.0004164916,0.00013458855,0.034112927,0.00012093893,0.00014118494,0.28677303,9.811085e-05,0.28424373,0.060036734,0.00026414357,0.0001055287,0.030134857
2018-51,0.00044549885,0.095732726,0.0010155787,0.0002602239,0.00063268223,0.0009847954,0.895713,0.00075548183,0.0002859654,0.000333838,0.00050135574,0.00023198742,0.0005727921,0.0005867948,0.00062457914,0.00024952722,0.0010732654
2018-52,9.311901e-05,0.098378,0.047876097,5.4392487e-05,0.00013224444,0.025605256,0.033444352,0.6408577,0.0067715957,6.9779446e-05,0.04848958,4.849045e-05,0.025871767,0.00012265296,0.03515204,5.2156654e-05,0.03698078
2019-1,0.00054505764,0.5084929,0.1832451,0.00031837798,0.0007740723,0.19300772,0.00038936004,0.0009243152,0.00034987213,0.00040844313,0.10745977,0.0002838313,0.000700798,0.00071793003,0.00076415826,0.00030529086,0.0013130279
2019-2,0.00010050707,0.07415161,0.029953852,5.870799e-05,0.00014273672,0.038769495,0.6327084,0.057162844,0.028897403,0.020160416,0.03769781,0.032047205,0.00012922514,0.019615317,0.020737942,5.6294764e-05,0.007610239
2019-3,0.00045607617,0.18807034,0.0010396809,0.0002664023,0.0006477038,0.0343526,0.00032579643,0.0007734189,0.029868655,0.0003417642,0.00051325926,0.00023749542,0.00058639166,0.7405269,0.00063940824,0.00025545168,0.0010986115
2019-4,0.00018325177,0.042148992,0.021821039,0.00010704066,0.00026024797,0.05440009,0.71393996,0.00031076057,0.00011762919,0.00013732113,0.044877257,0.046174318,0.00023561264,0.00024137255,0.00025691476,0.00010264069,0.07468551
2019-5,0.00014412064,0.10163356,0.01136193,8.4183455e-05,0.57792044,0.05847634,0.03966978,0.0545108,9.2510934e-05,0.000107997905,0.00016219055,0.018889373,0.00018530048,0.03849591,0.0002020538,8.0723046e-05,0.097982846
2019-6,0.0001410139,0.05624682,0.00032148365,0.019479366,0.00020026315,0.059826408,0.04568815,0.06984854,0.025459532,0.03673156,0.6381683,7.343106e-05,0.00018130605,0.013851675,0.00019769823,7.898294e-05,0.033505477
2019-13,9.83046e-05,0.09813217,0.02761137,5.7421483e-05,0.015117365,0.0889941,0.11284642,0.10517388,6.310166e-05,0.020108143,0.028239682,5.1190775e-05,0.35984233,0.022140795,0.013518582,5.506114e-05,0.107950106
2019-15,0.011008025,0.0476082,0.023937957,6.845641e-05,0.021710342,0.082897276,8.3718696e-05,0.11118813,0.56976664,0.023462972,0.015491256,6.1028313e-05,0.012323446,0.052186247,0.00016430636,6.564247e-05,0.027976343
2019-17,0.00015320968,0.13953027,0.04580072,8.9492525e-05,0.022275,0.04055781,0.017950831,0.05916516,9.834518e-05,0.021323655,0.00017241918,7.9781836e-05,0.5151933,0.035966676,0.04786213,8.581388e-05,0.053695403
2019-22,0.3278089,0.038403794,0.023828894,5.3634438e-05,0.04847957,0.057421003,0.08889281,0.052769624,0.0078585865,0.04317132,0.02599896,0.02367761,0.07756075,0.018182375,0.00012873126,5.1429764e-05,0.16571206
2019-23,0.00060381915,0.051548097,0.0013765065,0.0003527016,0.0008575234,0.035445068,0.0004313361,0.0010239619,0.00038759108,0.0004524765,0.05536113,0.059821095,0.00077634945,0.076487094,0.0008465404,0.00033820362,0.71389055
2019-46,0.0030350995,0.009387094,0.006919076,0.0017728561,0.0043103453,0.006709177,0.0021681127,0.0051469454,0.0019482282,0.002274375,0.0034156416,0.7219737,0.0039023238,0.0039977217,0.0042551393,0.0016999819,0.21708418
2019-47,0.019486994,0.14590651,0.019591482,3.82915e-05,0.008242509,0.06982155,0.044576153,0.016323417,0.035423175,0.021911932,0.44706285,0.01630919,8.428537e-05,0.03153602,0.0029379958,3.6717505e-05,0.12071094
